q,rvnm,stcd,stnm,tm,wptn,z
3240,金沙江,60103400,向家坝,1735660800000,4,267.720
2880,金沙江,60103400,向家坝,1735664400000,4,267.370
2770,金沙江,60103400,向家坝,1735668000000,4,267.260
2670,金沙江,60103400,向家坝,1735671600000,4,267.150
2600,金沙江,60103400,向家坝,1735675200000,4,267.080
2560,金沙江,60103400,向家坝,1735678800000,4,267.040
2570,金沙江,60103400,向家坝,1735682400000,5,267.050
2870,金沙江,60103400,向家坝,1735686000000,5,267.360
4010,金沙江,60103400,向家坝,1735693200000,5,268.440
4090,金沙江,60103400,向家坝,1735696800000,5,268.520
4140,金沙江,60103400,向家坝,1735700400000,5,268.560
4180,金沙江,60103400,向家坝,1735704000000,5,268.600
4170,金沙江,60103400,向家坝,1735707600000,4,268.590
4220,金沙江,60103400,向家坝,1735711200000,5,268.630
4220,金沙江,60103400,向家坝,1735714800000,6,268.630
4220,金沙江,60103400,向家坝,1735718400000,6,268.630
4280,金沙江,60103400,向家坝,1735722000000,5,268.690
4650,金沙江,60103400,向家坝,1735725600000,5,269.010
4750,金沙江,60103400,向家坝,1735729200000,5,269.100
4790,金沙江,60103400,向家坝,1735732800000,5,269.130
4840,金沙江,60103400,向家坝,1735736400000,5,269.180
4430,金沙江,60103400,向家坝,1735740000000,4,268.820
3680,金沙江,60103400,向家坝,1735743600000,4,268.140
3140,金沙江,60103400,向家坝,1735747200000,4,267.630
3000,金沙江,60103400,向家坝,1735750800000,4,267.490
2910,金沙江,60103400,向家坝,1735754400000,4,267.400
2830,金沙江,60103400,向家坝,1735758000000,4,267.320
2770,金沙江,60103400,向家坝,1735761600000,4,267.260
2770,金沙江,60103400,向家坝,1735765200000,6,267.260
2760,金沙江,60103400,向家坝,1735768800000,4,267.250
3330,金沙江,60103400,向家坝,1735772400000,5,267.810
4560,金沙江,60103400,向家坝,1735779600000,5,268.930
4680,金沙江,60103400,向家坝,1735783200000,5,269.040
4740,金沙江,60103400,向家坝,1735786800000,5,269.090
4800,金沙江,60103400,向家坝,1735790400000,5,269.140
4780,金沙江,60103400,向家坝,1735794000000,4,269.120
4800,金沙江,60103400,向家坝,1735797600000,5,269.140
4820,金沙江,60103400,向家坝,1735801200000,5,269.160
4830,金沙江,60103400,向家坝,1735804800000,5,269.170
4840,金沙江,60103400,向家坝,1735808400000,5,269.180
4830,金沙江,60103400,向家坝,1735812000000,4,269.170
4840,金沙江,60103400,向家坝,1735815600000,5,269.180
4830,金沙江,60103400,向家坝,1735819200000,4,269.170
4830,金沙江,60103400,向家坝,1735822800000,6,269.170
4840,金沙江,60103400,向家坝,1735826400000,5,269.180
4810,金沙江,60103400,向家坝,1735830000000,4,269.150
4830,金沙江,60103400,向家坝,1735833600000,5,269.170
4810,金沙江,60103400,向家坝,1735837200000,4,269.150
4830,金沙江,60103400,向家坝,1735840800000,5,269.170
4800,金沙江,60103400,向家坝,1735844400000,4,269.140
4740,金沙江,60103400,向家坝,1735848000000,4,269.090
4740,金沙江,60103400,向家坝,1735851600000,6,269.090
4730,金沙江,60103400,向家坝,1735855200000,4,269.080
4700,金沙江,60103400,向家坝,1735858800000,4,269.050
4720,金沙江,60103400,向家坝,1735866000000,4,269.070
4710,金沙江,60103400,向家坝,1735869600000,4,269.060
4740,金沙江,60103400,向家坝,1735873200000,5,269.090
4750,金沙江,60103400,向家坝,1735876800000,5,269.100
4790,金沙江,60103400,向家坝,1735880400000,5,269.130
4820,金沙江,60103400,向家坝,1735884000000,5,269.160
4830,金沙江,60103400,向家坝,1735887600000,5,269.170
4820,金沙江,60103400,向家坝,1735891200000,4,269.160
4820,金沙江,60103400,向家坝,1735894800000,6,269.160
4840,金沙江,60103400,向家坝,1735898400000,5,269.180
4860,金沙江,60103400,向家坝,1735902000000,5,269.190
4860,金沙江,60103400,向家坝,1735905600000,6,269.190
4900,金沙江,60103400,向家坝,1735909200000,5,269.230
4890,金沙江,60103400,向家坝,1735912800000,4,269.220
4900,金沙江,60103400,向家坝,1735916400000,5,269.230
4890,金沙江,60103400,向家坝,1735920000000,4,269.220
4870,金沙江,60103400,向家坝,1735923600000,4,269.200
4820,金沙江,60103400,向家坝,1735927200000,4,269.160
4800,金沙江,60103400,向家坝,1735930800000,4,269.140
4750,金沙江,60103400,向家坝,1735934400000,4,269.100
4730,金沙江,60103400,向家坝,1735938000000,4,269.080
4710,金沙江,60103400,向家坝,1735941600000,4,269.060
4720,金沙江,60103400,向家坝,1735945200000,5,269.070
4700,金沙江,60103400,向家坝,1735952400000,4,269.050
4720,金沙江,60103400,向家坝,1735956000000,5,269.070
4740,金沙江,60103400,向家坝,1735959600000,5,269.090
4740,金沙江,60103400,向家坝,1735963200000,6,269.090
4800,金沙江,60103400,向家坝,1735966800000,5,269.140
4810,金沙江,60103400,向家坝,1735970400000,5,269.150
4810,金沙江,60103400,向家坝,1735974000000,6,269.150
4810,金沙江,60103400,向家坝,1735977600000,6,269.150
4790,金沙江,60103400,向家坝,1735981200000,4,269.130
4790,金沙江,60103400,向家坝,1735984800000,6,269.130
4800,金沙江,60103400,向家坝,1735988400000,5,269.140
4800,金沙江,60103400,向家坝,1735992000000,6,269.140
4800,金沙江,60103400,向家坝,1735995600000,6,269.140
4800,金沙江,60103400,向家坝,1735999200000,6,269.140
4800,金沙江,60103400,向家坝,1736002800000,6,269.140
4800,金沙江,60103400,向家坝,1736006400000,6,269.140
4800,金沙江,60103400,向家坝,1736010000000,6,269.140
4790,金沙江,60103400,向家坝,1736013600000,4,269.130
4810,金沙江,60103400,向家坝,1736017200000,5,269.150
4780,金沙江,60103400,向家坝,1736020800000,4,269.120
4730,金沙江,60103400,向家坝,1736024400000,4,269.080
4740,金沙江,60103400,向家坝,1736028000000,5,269.090
4750,金沙江,60103400,向家坝,1736031600000,5,269.100
4740,金沙江,60103400,向家坝,1736038800000,6,269.090
