q,rvnm,stcd,stnm,tm,wptn,z
486,清江,61004810,高坝洲,1751266800000,4,41.460
922,清江,61004810,高坝洲,1751335200000,5,42.780
923,清江,61004810,高坝洲,1751338800000,5,42.810
922,清江,61004810,高坝洲,1751342400000,4,42.780
914,清江,61004810,高坝洲,1751346000000,4,42.540
913,清江,61004810,高坝洲,1751349600000,4,42.480
910,清江,61004810,高坝洲,1751353200000,4,42.400
909,清江,61004810,高坝洲,1751356800000,4,42.370
911,清江,61004810,高坝洲,1751360400000,5,42.420
913,清江,61004810,高坝洲,1751364000000,5,42.500
922,清江,61004810,高坝洲,1751367600000,5,42.770
930,清江,61004810,高坝洲,1751371200000,5,43.030
936,清江,61004810,高坝洲,1751374800000,5,43.230
939,清江,61004810,高坝洲,1751378400000,5,43.310
879,清江,61004810,高坝洲,1751382000000,5,43.370
881,清江,61004810,高坝洲,1751385600000,5,43.410
864,清江,61004810,高坝洲,1751389200000,4,43.260
718,清江,61004810,高坝洲,1751392800000,4,43.070
745,清江,61004810,高坝洲,1751396400000,5,43.100
638,清江,61004810,高坝洲,1751400000000,4,42.990
485,清江,61004810,高坝洲,1751403600000,4,42.850
485,清江,61004810,高坝洲,1751407200000,6,42.850
386,清江,61004810,高坝洲,1751410800000,4,42.770
313,清江,61004810,高坝洲,1751418000000,4,42.710
288,清江,61004810,高坝洲,1751425200000,4,42.690
203,清江,61004810,高坝洲,1751428800000,4,42.620
36.5,清江,61004810,高坝洲,1751432400000,4,42.470
13.4,清江,61004810,高坝洲,1751436000000,4,42.380
9.49,清江,61004810,高坝洲,1751439600000,4,42.320
9.12,清江,61004810,高坝洲,1751443200000,4,42.290
8.89,清江,61004810,高坝洲,1751446800000,4,42.260
10.9,清江,61004810,高坝洲,1751450400000,5,42.350
239,清江,61004810,高坝洲,1751454000000,5,42.650
618,清江,61004810,高坝洲,1751457600000,5,42.970
805,清江,61004810,高坝洲,1751461200000,5,43.170
861,清江,61004810,高坝洲,1751464800000,5,43.250
874,清江,61004810,高坝洲,1751468400000,5,43.310
880,清江,61004810,高坝洲,1751472000000,5,43.380
849,清江,61004810,高坝洲,1751475600000,4,43.230
698,清江,61004810,高坝洲,1751479200000,4,43.050
658,清江,61004810,高坝洲,1751482800000,4,43.010
578,清江,61004810,高坝洲,1751486400000,4,42.930
325,清江,61004810,高坝洲,1751493600000,4,42.720
203,清江,61004810,高坝洲,1751497200000,4,42.620
130,清江,61004810,高坝洲,1751504400000,4,42.560
61,清江,61004810,高坝洲,1751511600000,4,42.500
16.1,清江,61004810,高坝洲,1751515200000,4,42.400
9.36,清江,61004810,高坝洲,1751518800000,4,42.310
8.57,清江,61004810,高坝洲,1751522400000,4,42.200
642,清江,61004810,高坝洲,1751526000000,4,42.180
631,清江,61004810,高坝洲,1751529600000,4,42.130
621,清江,61004810,高坝洲,1751533200000,4,42.080
637,清江,61004810,高坝洲,1751536800000,5,42.160
8.95,清江,61004810,高坝洲,1751540400000,5,42.270
166,清江,61004810,高坝洲,1751544000000,5,42.590
423,清江,61004810,高坝洲,1751547600000,5,42.800
608,清江,61004810,高坝洲,1751551200000,5,42.960
728,清江,61004810,高坝洲,1751554800000,5,43.080
829,清江,61004810,高坝洲,1751558400000,5,43.200
814,清江,61004810,高坝洲,1751562000000,4,43.180
708,清江,61004810,高坝洲,1751565600000,4,43.060
618,清江,61004810,高坝洲,1751569200000,4,42.970
485,清江,61004810,高坝洲,1751572800000,4,42.850
