rvnm,stcd,stnm,tm,wptn,z
陆水,61705000,陆水水库(坝上),1769860800000,5,47.660
陆水,61705000,陆水水库(坝上),1769907600000,4,47.660
陆水,61705000,陆水水库(坝上),1769925600000,6,47.640
陆水,61705000,陆水水库(坝上),1769942700000,6,47.620
陆水,61705000,陆水水库(坝上),1769943900000,6,47.620
陆水,61705000,陆水水库(坝上),1769944500000,6,47.620
陆水,61705000,陆水水库(坝上),1769947200000,4,47.610
陆水,61705000,陆水水库(坝上),1769952000000,6,47.620
陆水,61705000,陆水水库(坝上),1769953200000,6,47.620
15,4,陆水,61705000,陆水水库(坝上),1769990400000,4,47.640
陆水,61705000,陆水水库(坝上),1770004800000,47.610
陆水,61705000,陆水水库(坝上),1770012000000,6,47.610
陆水,61705000,陆水水库(坝上),1770018600000,6,47.610
陆水,61705000,陆水水库(坝上),1770021600000,5,47.610
陆水,61705000,陆水水库(坝上),1770024300000,6,47.600
陆水,61705000,陆水水库(坝上),1770027600000,4,47.600
陆水,61705000,陆水水库(坝上),1770030000000,4,47.600
陆水,61705000,陆水水库(坝上),1770032400000,4,47.600
陆水,61705000,陆水水库(坝上),1770036600000,5,47.610
陆水,61705000,陆水水库(坝上),1770040200000,5,47.610
陆水,61705000,陆水水库(坝上),1770043800000,6,47.610
陆水,61705000,陆水水库(坝上),1770045900000,6,47.610
陆水,61705000,陆水水库(坝上),1770047400000,6,47.610
陆水,61705000,陆水水库(坝上),1770051000000,6,47.610
陆水,61705000,陆水水库(坝上),1770053400000,6,47.610
陆水,61705000,陆水水库(坝上),1770055800000,6,47.610
陆水,61705000,陆水水库(坝上),1770073200000,6,47.620
陆水,61705000,陆水水库(坝上),1770075600000,6,47.620
陆水,61705000,陆水水库(坝上),1770076200000,6,47.620
陆水,61705000,陆水水库(坝上),1770087600000,6,47.610
陆水,61705000,陆水水库(坝上),1770094200000,6,47.600
陆水,61705000,陆水水库(坝上),1770097200000,6,47.600
陆水,61705000,陆水水库(坝上),1770100800000,4,47.590
陆水,61705000,陆水水库(坝上),1770103500000,4,47.590
陆水,61705000,陆水水库(坝上),1770105000000,6,47.590
陆水,61705000,陆水水库(坝上),1770108000000,6,47.590
陆水,61705000,陆水水库(坝上),1770111000000,6,47.590
陆水,61705000,陆水水库(坝上),1770113400000,6,47.590
陆水,61705000,陆水水库(坝上),1770115800000,5,47.590
陆水,61705000,陆水水库(坝上),1770118500000,6,47.590
陆水,61705000,陆水水库(坝上),1770119700000,6,47.590
陆水,61705000,陆水水库(坝上),1770124200000,4,47.590
陆水,61705000,陆水水库(坝上),1770127200000,4,47.590
陆水,61705000,陆水水库(坝上),1770130500000,5,47.600
陆水,61705000,陆水水库(坝上),1770133800000,6,47.600
陆水,61705000,陆水水库(坝上),1770137400000,6,47.600
陆水,61705000,陆水水库(坝上),1770141000000,6,47.610
陆水,61705000,陆水水库(坝上),1770145200000,6,47.610
陆水,61705000,陆水水库(坝上),1770147600000,6,47.610
陆水,61705000,陆水水库(坝上),1770149100000,6,47.610
陆水,61705000,陆水水库(坝上),1770151800000,6,47.610
陆水,61705000,陆水水库(坝上),1770153900000,4,47.610
陆水,61705000,陆水水库(坝上),1770155700000,6,47.620
陆水,61705000,陆水水库(坝上),1770157500000,5,47.620
陆水,61705000,陆水水库(坝上),1770157800000,4,47.610
陆水,61705000,陆水水库(坝上),1770159000000,4,47.610
