q,rvnm,stcd,stnm,tm,wptn,z
686,汉江,61804110,皇庄,1743436800000,4,39.210
667,汉江,61804110,皇庄,1743440400000,4,39.160
655,汉江,61804110,皇庄,1743444000000,4,39.130
643,汉江,61804110,皇庄,1743447600000,4,39.100
636,汉江,61804110,皇庄,1743451200000,4,39.080
628,汉江,61804110,皇庄,1743454800000,4,39.060
616,汉江,61804110,皇庄,1743458400000,4,39.030
605,汉江,61804110,皇庄,1743462000000,4,39.000
582,汉江,61804110,皇庄,1743469200000,4,38.940
570,汉江,61804110,皇庄,1743472800000,4,38.910
558,汉江,61804110,皇庄,1743476400000,4,38.880
551,汉江,61804110,皇庄,1743480000000,4,38.860
539,汉江,61804110,皇庄,1743483600000,4,38.830
535,汉江,61804110,皇庄,1743487200000,4,38.820
535,汉江,61804110,皇庄,1743490800000,6,38.820
539,汉江,61804110,皇庄,1743494400000,5,38.830
539,汉江,61804110,皇庄,1743498000000,6,38.830
543,汉江,61804110,皇庄,1743501600000,5,38.840
543,汉江,61804110,皇庄,1743505200000,6,38.840
543,汉江,61804110,皇庄,1743508800000,6,38.840
539,汉江,61804110,皇庄,1743512400000,4,38.830
539,汉江,61804110,皇庄,1743516000000,6,38.830
539,汉江,61804110,皇庄,1743519600000,6,38.830
539,汉江,61804110,皇庄,1743523200000,6,38.830
547,汉江,61804110,皇庄,1743526800000,5,38.850
558,汉江,61804110,皇庄,1743530400000,5,38.880
566,汉江,61804110,皇庄,1743534000000,5,38.900
574,汉江,61804110,皇庄,1743537600000,5,38.920
578,汉江,61804110,皇庄,1743541200000,5,38.930
582,汉江,61804110,皇庄,1743544800000,5,38.940
585,汉江,61804110,皇庄,1743548400000,5,38.950
601,汉江,61804110,皇庄,1743555600000,5,38.990
624,汉江,61804110,皇庄,1743559200000,5,39.050
640,汉江,61804110,皇庄,1743562800000,5,39.090
640,汉江,61804110,皇庄,1743566400000,6,39.090
647,汉江,61804110,皇庄,1743570000000,5,39.110
655,汉江,61804110,皇庄,1743573600000,5,39.130
659,汉江,61804110,皇庄,1743577200000,5,39.140
651,汉江,61804110,皇庄,1743580800000,4,39.120
624,汉江,61804110,皇庄,1743591600000,4,39.050
628,汉江,61804110,皇庄,1743595200000,5,39.060
640,汉江,61804110,皇庄,1743598800000,5,39.090
647,汉江,61804110,皇庄,1743602400000,5,39.110
651,汉江,61804110,皇庄,1743606000000,5,39.120
659,汉江,61804110,皇庄,1743609600000,5,39.140
663,汉江,61804110,皇庄,1743613200000,5,39.150
663,汉江,61804110,皇庄,1743616800000,6,39.150
667,汉江,61804110,皇庄,1743620400000,5,39.160
667,汉江,61804110,皇庄,1743624000000,6,39.160
670,汉江,61804110,皇庄,1743627600000,5,39.170
670,汉江,61804110,皇庄,1743631200000,6,39.170
670,汉江,61804110,皇庄,1743634800000,6,39.170
678,汉江,61804110,皇庄,1743642000000,5,39.190
686,汉江,61804110,皇庄,1743645600000,5,39.210
686,汉江,61804110,皇庄,1743649200000,6,39.210
682,汉江,61804110,皇庄,1743652800000,4,39.200
678,汉江,61804110,皇庄,1743656400000,4,39.190
674,汉江,61804110,皇庄,1743660000000,4,39.180
670,汉江,61804110,皇庄,1743663600000,4,39.170
0,659,汉江,61804110,皇庄,1743904800000,5,39.14
0,655,汉江,61804110,皇庄,1743908400000,4,39.13
0,647,汉江,61804110,皇庄,1743912000000,4,39.11
0,628,汉江,61804110,皇庄,1743915600000,4,39.06
0,613,汉江,61804110,皇庄,1743919200000,4,39.02
0,601,汉江,61804110,皇庄,1743922800000,4,38.99
0,613,汉江,61804110,皇庄,1743926400000,5,39.02
0,620,汉江,61804110,皇庄,1743930000000,5,39.04
0,605,汉江,61804110,皇庄,1743933600000,4,39
0,589,汉江,61804110,皇庄,1743937200000,4,38.96
0,582,汉江,61804110,皇庄,1743940800000,4,38.94
0,570,汉江,61804110,皇庄,1743944400000,4,38.91
0,566,汉江,61804110,皇庄,1743948000000,4,38.9
0,566,汉江,61804110,皇庄,1743951600000,6,38.9
0,566,汉江,61804110,皇庄,1743955200000,6,38.9
0,566,汉江,61804110,皇庄,1743958800000,6,38.9
0,562,汉江,61804110,皇庄,1743962400000,4,38.89
0,558,汉江,61804110,皇庄,1743966000000,4,38.88
0,566,汉江,61804110,皇庄,1743969600000,5,38.9
0,570,汉江,61804110,皇庄,1743973200000,5,38.91
0,570,汉江,61804110,皇庄,1743976800000,6,38.91
0,574,汉江,61804110,皇庄,1743980400000,5,38.92
0,589,汉江,61804110,皇庄,1743987600000,5,38.96
0,601,汉江,61804110,皇庄,1743991200000,5,38.99
0,605,汉江,61804110,皇庄,1743994800000,5,39
0,613,汉江,61804110,皇庄,1743998400000,5,39.02
0,616,汉江,61804110,皇庄,1744002000000,5,39.03
0,616,汉江,61804110,皇庄,1744005600000,6,39.03
0,624,汉江,61804110,皇庄,1744009200000,5,39.05
0,620,汉江,61804110,皇庄,1744012800000,4,39.04
0,601,汉江,61804110,皇庄,1744016400000,4,38.99
0,593,汉江,61804110,皇庄,1744020000000,4,38.97
0,582,汉江,61804110,皇庄,1744023600000,4,38.94
0,574,汉江,61804110,皇庄,1744027200000,4,38.92
0,574,汉江,61804110,皇庄,1744030800000,6,38.92
0,582,汉江,61804110,皇庄,1744034400000,5,38.94
0,585,汉江,61804110,皇庄,1744038000000,5,38.95
0,593,汉江,61804110,皇庄,1744041600000,5,38.97
0,593,汉江,61804110,皇庄,1744045200000,6,38.97
0,593,汉江,61804110,皇庄,1744048800000,6,38.97
0,597,汉江,61804110,皇庄,1744052400000,5,38.98
0,601,汉江,61804110,皇庄,1744056000000,5,38.99
0,601,汉江,61804110,皇庄,1744059600000,6,38.99
0,605,汉江,61804110,皇庄,1744063200000,5,39
0,605,汉江,61804110,皇庄,1744066800000,6,39
0,616,汉江,61804110,皇庄,1744074000000,5,39.03
0,620,汉江,61804110,皇庄,1744077600000,5,39.04
0,605,汉江,61804110,皇庄,1744081200000,4,39
0,597,汉江,61804110,皇庄,1744084800000,4,38.98
0,585,汉江,61804110,皇庄,1744088400000,4,38.95
0,582,汉江,61804110,皇庄,1744092000000,4,38.94
0,574,汉江,61804110,皇庄,1744095600000,4,38.92
0,574,汉江,61804110,皇庄,1744099200000,6,38.92
0,570,汉江,61804110,皇庄,1744102800000,4,38.91
