rvnm,stcd,stnm,tm,wptn,z
清江,61004810,高坝洲,1740758400000,4,38.370
清江,61004810,高坝洲,1740762000000,4,38.280
2.77,清江,61004810,高坝洲,1740765600000,4,38.250
1.4,清江,61004810,高坝洲,1740769200000,4,38.230
清江,61004810,高坝洲,1740772800000,4,38.210
清江,61004810,高坝洲,1740776400000,4,38.200
清江,61004810,高坝洲,1740780000000,4,38.190
清江,61004810,高坝洲,1740783600000,6,38.190
清江,61004810,高坝洲,1740787200000,4,38.180
清江,61004810,高坝洲,1740794400000,6,38.170
1.91,清江,61004810,高坝洲,1740798000000,4,38.160
2.62,清江,61004810,高坝洲,1740801600000,6,38.160
清江,61004810,高坝洲,1740805200000,4,38.150
2.59,清江,61004810,高坝洲,1740808800000,6,38.150
2.66,清江,61004810,高坝洲,1740812400000,4,38.140
2.62,清江,61004810,高坝洲,1740816000000,6,38.140
清江,61004810,高坝洲,1740819600000,4,38.130
清江,61004810,高坝洲,1740823200000,5,38.590
清江,61004810,高坝洲,1740826800000,5,39.400
379,清江,61004810,高坝洲,1740830400000,5,39.600
381,清江,61004810,高坝洲,1740834000000,5,39.640
清江,61004810,高坝洲,1740837600000,4,39.610
清江,61004810,高坝洲,1740841200000,4,38.810
清江,61004810,高坝洲,1740844800000,4,38.390
清江,61004810,高坝洲,1740848400000,4,38.290
清江,61004810,高坝洲,1740852000000,4,38.250
清江,61004810,高坝洲,1740855600000,4,38.230
清江,61004810,高坝洲,1740859200000,4,38.210
清江,61004810,高坝洲,1740862800000,4,38.200
清江,61004810,高坝洲,1740866400000,6,38.200
清江,61004810,高坝洲,1740870000000,4,38.190
