rvnm,stcd,stnm,tm,wptn,z
长江,60106000,万县,1738339200000,4,166.420
长江,60106000,万县,1738342800000,4,166.400
长江,60106000,万县,1738346400000,6,166.400
长江,60106000,万县,1738350000000,6,166.400
长江,60106000,万县,1738353600000,6,166.400
长江,60106000,万县,1738357200000,4,166.390
长江,60106000,万县,1738360800000,4,166.380
长江,60106000,万县,1738364400000,4,166.360
长江,60106000,万县,1738371600000,4,166.320
长江,60106000,万县,1738375200000,4,166.290
长江,60106000,万县,1738378800000,4,166.260
长江,60106000,万县,1738382400000,4,166.240
长江,60106000,万县,1738386000000,4,166.230
长江,60106000,万县,1738389600000,6,166.230
长江,60106000,万县,1738393200000,5,166.250
长江,60106000,万县,1738396800000,4,166.230
长江,60106000,万县,1738400400000,6,166.230
长江,60106000,万县,1738404000000,4,166.220
长江,60106000,万县,1738407600000,4,166.210
长江,60106000,万县,1738411200000,4,166.170
长江,60106000,万县,1738414800000,4,166.120
长江,60106000,万县,1738418400000,4,166.100
长江,60106000,万县,1738422000000,4,166.070
长江,60106000,万县,1738425600000,4,166.050
长江,60106000,万县,1738429200000,4,166.040
长江,60106000,万县,1738432800000,6,166.040
长江,60106000,万县,1738436400000,4,166.020
长江,60106000,万县,1738440000000,6,166.020
长江,60106000,万县,1738443600000,5,166.030
长江,60106000,万县,1738447200000,4,166.020
长江,60106000,万县,1738450800000,4,166.000
长江,60106000,万县,1738458000000,4,165.970
长江,60106000,万县,1738461600000,4,165.960
长江,60106000,万县,1738465200000,4,165.930
长江,60106000,万县,1738468800000,4,165.890
长江,60106000,万县,1738472400000,4,165.870
长江,60106000,万县,1738476000000,5,165.890
长江,60106000,万县,1738479600000,6,165.890
长江,60106000,万县,1738483200000,6,165.890
长江,60106000,万县,1738486800000,6,165.890
长江,60106000,万县,1738490400000,4,165.880
长江,60106000,万县,1738494000000,4,165.850
长江,60106000,万县,1738497600000,4,165.830
长江,60106000,万县,1738501200000,4,165.790
长江,60106000,万县,1738504800000,4,165.770
长江,60106000,万县,1738508400000,4,165.730
长江,60106000,万县,1738512000000,4,165.700
长江,60106000,万县,1738515600000,5,165.710
长江,60106000,万县,1738519200000,4,165.700
长江,60106000,万县,1738522800000,6,165.700
长江,60106000,万县,1738526400000,4,165.690
长江,60106000,万县,1738530000000,6,165.690
长江,60106000,万县,1738533600000,4,165.680
长江,60106000,万县,1738537200000,4,165.660
长江,60106000,万县,1738544400000,4,165.630
长江,60106000,万县,1738548000000,4,165.620
长江,60106000,万县,1738551600000,4,165.590
长江,60106000,万县,1738555200000,4,165.570
长江,60106000,万县,1738558800000,4,165.540
长江,60106000,万县,1738562400000,5,165.550
长江,60106000,万县,1738566000000,6,165.550
长江,60106000,万县,1738569600000,4,165.540
长江,60106000,万县,1738573200000,6,165.540
长江,60106000,万县,1738576800000,4,165.530
长江,60106000,万县,1738580400000,4,165.510
长江,60106000,万县,1738584000000,4,165.470
长江,60106000,万县,1738587600000,4,165.440
长江,60106000,万县,1738591200000,4,165.410
长江,60106000,万县,1738594800000,4,165.390
长江,60106000,万县,1738598400000,4,165.370
长江,60106000,万县,1738602000000,4,165.350
长江,60106000,万县,1738605600000,4,165.340
长江,60106000,万县,1738609200000,6,165.340
长江,60106000,万县,1738612800000,4,165.330
长江,60106000,万县,1738616400000,6,165.330
长江,60106000,万县,1738620000000,4,165.320
长江,60106000,万县,1738623600000,4,165.310
长江,60106000,万县,1738630800000,4,165.250
长江,60106000,万县,1738634400000,6,165.250
长江,60106000,万县,1738638000000,4,165.210
长江,60106000,万县,1738641600000,4,165.190
长江,60106000,万县,1738645200000,4,165.170
长江,60106000,万县,1738648800000,5,165.180
长江,60106000,万县,1738652400000,6,165.180
长江,60106000,万县,1738656000000,4,165.160
长江,60106000,万县,1738659600000,6,165.160
长江,60106000,万县,1738663200000,4,165.150
长江,60106000,万县,1738666800000,4,165.140
长江,60106000,万县,1738670400000,4,165.100
长江,60106000,万县,1738674000000,4,165.040
长江,60106000,万县,1738677600000,4,165.030
长江,60106000,万县,1738681200000,4,165.010
长江,60106000,万县,1738684800000,4,164.990
长江,60106000,万县,1738688400000,6,164.990
长江,60106000,万县,1738692000000,4,164.980
长江,60106000,万县,1738695600000,4,164.970
