rvnm,stcd,stnm,tm,wptn,z
长江,60106000,万县,1738339200000,4,166.420
长江,60106000,万县,1738342800000,4,166.400
长江,60106000,万县,1738346400000,6,166.400
长江,60106000,万县,1738350000000,6,166.400
长江,60106000,万县,1738353600000,6,166.400
长江,60106000,万县,1738357200000,4,166.390
长江,60106000,万县,1738360800000,4,166.380
长江,60106000,万县,1738364400000,4,166.360
长江,60106000,万县,1738371600000,4,166.320
长江,60106000,万县,1738375200000,4,166.290
长江,60106000,万县,1738378800000,4,166.260
长江,60106000,万县,1738382400000,4,166.240
长江,60106000,万县,1738386000000,4,166.230
长江,60106000,万县,1738389600000,6,166.230
长江,60106000,万县,1738393200000,5,166.250
长江,60106000,万县,1738396800000,4,166.230
长江,60106000,万县,1738400400000,6,166.230
长江,60106000,万县,1738404000000,4,166.220
长江,60106000,万县,1738407600000,4,166.210
长江,60106000,万县,1738411200000,4,166.170
长江,60106000,万县,1738414800000,4,166.120
长江,60106000,万县,1738418400000,4,166.100
长江,60106000,万县,1738422000000,4,166.070
长江,60106000,万县,1738425600000,4,166.050
长江,60106000,万县,1738429200000,4,166.040
长江,60106000,万县,1738432800000,6,166.040
长江,60106000,万县,1738436400000,4,166.020
长江,60106000,万县,1738440000000,6,166.020
长江,60106000,万县,1738443600000,5,166.030
长江,60106000,万县,1738447200000,4,166.020
长江,60106000,万县,1738450800000,4,166.000
长江,60106000,万县,1738458000000,4,165.970
长江,60106000,万县,1738461600000,4,165.960
长江,60106000,万县,1738465200000,4,165.930
长江,60106000,万县,1738468800000,4,165.890
长江,60106000,万县,1738472400000,4,165.870
长江,60106000,万县,1738476000000,5,165.890
长江,60106000,万县,1738479600000,6,165.890
长江,60106000,万县,1738483200000,6,165.890
长江,60106000,万县,1738486800000,6,165.890
长江,60106000,万县,1738490400000,4,165.880
长江,60106000,万县,1738494000000,4,165.850
长江,60106000,万县,1738497600000,4,165.830
长江,60106000,万县,1738501200000,4,165.790
长江,60106000,万县,1738504800000,4,165.770
