rvnm,stcd,stnm,tm,wptn,z
陆水,61705000,陆水水库(坝上),1764518700000,6,49.130
陆水,61705000,陆水水库(坝上),1764520200000,6,49.130
陆水,61705000,陆水水库(坝上),1764520500000,6,49.130
陆水,61705000,陆水水库(坝上),1764522300000,6,49.130
陆水,61705000,陆水水库(坝上),1764523500000,6,49.130
陆水,61705000,陆水水库(坝上),1764523800000,6,49.130
陆水,61705000,陆水水库(坝上),1764524400000,6,49.130
陆水,61705000,陆水水库(坝上),1764526500000,6,49.130
陆水,61705000,陆水水库(坝上),1764527700000,5,49.140
陆水,61705000,陆水水库(坝上),1764528300000,6,49.130
陆水,61705000,陆水水库(坝上),1764528900000,6,49.140
陆水,61705000,陆水水库(坝上),1764530100000,4,49.130
陆水,61705000,陆水水库(坝上),1764530700000,6,49.130
陆水,61705000,陆水水库(坝上),1764531300000,6,49.140
陆水,61705000,陆水水库(坝上),1764531900000,4,49.130
陆水,61705000,陆水水库(坝上),1764533100000,6,49.140
陆水,61705000,陆水水库(坝上),1764534000000,5,49.140
陆水,61705000,陆水水库(坝上),1764534900000,5,49.140
陆水,61705000,陆水水库(坝上),1764535500000,4,49.130
陆水,61705000,陆水水库(坝上),1764536700000,4,49.130
陆水,61705000,陆水水库(坝上),1764537300000,6,49.140
陆水,61705000,陆水水库(坝上),1764538500000,6,49.140
陆水,61705000,陆水水库(坝上),1764539100000,6,49.140
陆水,61705000,陆水水库(坝上),1764540300000,6,49.140
陆水,61705000,陆水水库(坝上),1764541800000,6,49.140
陆水,61705000,陆水水库(坝上),1764542100000,6,49.140
陆水,61705000,陆水水库(坝上),1764542700000,6,49.140
陆水,61705000,陆水水库(坝上),1764543600000,6,49.140
陆水,61705000,陆水水库(坝上),1764544800000,6,49.140
陆水,61705000,陆水水库(坝上),1764545400000,6,49.140
陆水,61705000,陆水水库(坝上),1764546300000,6,49.140
陆水,61705000,陆水水库(坝上),1764552900000,4,49.130
陆水,61705000,陆水水库(坝上),1764559200000,6,49.130
陆水,61705000,陆水水库(坝上),1764563100000,6,49.130
陆水,61705000,陆水水库(坝上),1764564900000,6,49.130
陆水,61705000,陆水水库(坝上),1764567000000,6,49.120
陆水,61705000,陆水水库(坝上),1764567900000,4,49.110
陆水,61705000,陆水水库(坝上),1764570000000,5,49.120
陆水,61705000,陆水水库(坝上),1764571500000,4,49.110
陆水,61705000,陆水水库(坝上),1764572700000,6,49.110
