q,rvnm,stcd,stnm,tm,wptn,z
5930,金沙江,60103400,向家坝,1759248000000,4,270.290
5840,金沙江,60103400,向家坝,1759251600000,4,270.160
5800,金沙江,60103400,向家坝,1759255200000,4,270.120
5760,金沙江,60103400,向家坝,1759258800000,4,270.090
5720,金沙江,60103400,向家坝,1759262400000,4,270.060
5750,金沙江,60103400,向家坝,1759266000000,6,270.060
5540,金沙江,60103400,向家坝,1759269600000,4,269.900
4920,金沙江,60103400,向家坝,1759273200000,4,269.370
3750,金沙江,60103400,向家坝,1759280400000,4,268.310
3700,金沙江,60103400,向家坝,1759284000000,4,268.190
3570,金沙江,60103400,向家坝,1759287600000,5,268.210
3580,金沙江,60103400,向家坝,1759291200000,5,268.230
3570,金沙江,60103400,向家坝,1759294800000,4,268.210
3590,金沙江,60103400,向家坝,1759298400000,4,268.130
3570,金沙江,60103400,向家坝,1759302000000,4,268.050
4070,金沙江,60103400,向家坝,1759305600000,5,268.540
4800,金沙江,60103400,向家坝,1759309200000,5,269.280
5520,金沙江,60103400,向家坝,1759312800000,5,269.910
5700,金沙江,60103400,向家坝,1759316400000,5,270.000
5760,金沙江,60103400,向家坝,1759320000000,5,270.050
5830,金沙江,60103400,向家坝,1759323600000,5,270.120
5820,金沙江,60103400,向家坝,1759327200000,4,270.110
5890,金沙江,60103400,向家坝,1759330800000,5,270.220
5860,金沙江,60103400,向家坝,1759334400000,5,270.270
5730,金沙江,60103400,向家坝,1759338000000,4,270.180
5650,金沙江,60103400,向家坝,1759341600000,4,270.110
5720,金沙江,60103400,向家坝,1759345200000,4,270.020
5700,金沙江,60103400,向家坝,1759348800000,4,270.010
5700,金沙江,60103400,向家坝,1759352400000,4,270.000
5530,金沙江,60103400,向家坝,1759356000000,4,269.920
4910,金沙江,60103400,向家坝,1759359600000,4,269.410
3800,金沙江,60103400,向家坝,1759366800000,4,268.310
3650,金沙江,60103400,向家坝,1759370400000,4,268.140
3640,金沙江,60103400,向家坝,1759374000000,4,268.120
3540,金沙江,60103400,向家坝,1759377600000,5,268.210
3610,金沙江,60103400,向家坝,1759381200000,4,268.130
3590,金沙江,60103400,向家坝,1759384800000,4,268.100
3570,金沙江,60103400,向家坝,1759388400000,4,268.080
4050,金沙江,60103400,向家坝,1759392000000,5,268.530
4790,金沙江,60103400,向家坝,1759395600000,5,269.220
5460,金沙江,60103400,向家坝,1759399200000,5,269.810
5710,金沙江,60103400,向家坝,1759402800000,5,270.010
5750,金沙江,60103400,向家坝,1759406400000,5,270.050
5800,金沙江,60103400,向家坝,1759410000000,5,270.090
5800,金沙江,60103400,向家坝,1759413600000,6,270.090
5820,金沙江,60103400,向家坝,1759417200000,5,270.130
5820,金沙江,60103400,向家坝,1759420800000,6,270.130
5660,金沙江,60103400,向家坝,1759424400000,4,269.990
5670,金沙江,60103400,向家坝,1759428000000,5,270.000
