rvnm,stcd,stnm,tm,wptn,z
长江,60106000,万县,1759248000000,5,169.330
长江,60106000,万县,1759251600000,5,169.390
长江,60106000,万县,1759255200000,5,169.430
长江,60106000,万县,1759258800000,5,169.470
长江,60106000,万县,1759262400000,5,169.510
长江,60106000,万县,1759266000000,5,169.570
长江,60106000,万县,1759269600000,5,169.620
长江,60106000,万县,1759273200000,5,169.680
长江,60106000,万县,1759280400000,5,169.780
长江,60106000,万县,1759284000000,5,169.830
长江,60106000,万县,1759287600000,5,169.880
长江,60106000,万县,1759291200000,5,169.940
长江,60106000,万县,1759294800000,5,170.000
长江,60106000,万县,1759298400000,5,170.070
长江,60106000,万县,1759302000000,5,170.140
长江,60106000,万县,1759305600000,5,170.200
长江,60106000,万县,1759309200000,5,170.280
长江,60106000,万县,1759312800000,5,170.350
长江,60106000,万县,1759316400000,5,170.410
长江,60106000,万县,1759320000000,5,170.470
长江,60106000,万县,1759323600000,5,170.520
长江,60106000,万县,1759327200000,5,170.550
长江,60106000,万县,1759330800000,5,170.600
长江,60106000,万县,1759338000000,5,170.670
长江,60106000,万县,1759341600000,5,170.710
长江,60106000,万县,1759345200000,5,170.740
长江,60106000,万县,1759348800000,5,170.760
长江,60106000,万县,1759352400000,5,170.790
长江,60106000,万县,1759356000000,6,170.790
长江,60106000,万县,1759359600000,5,170.830
长江,60106000,万县,1759366800000,5,170.880
长江,60106000,万县,1759370400000,5,170.910
长江,60106000,万县,1759374000000,5,170.920
长江,60106000,万县,1759377600000,5,170.940
长江,60106000,万县,1759381200000,5,170.960
长江,60106000,万县,1759384800000,5,171.030
长江,60106000,万县,1759388400000,5,171.050
长江,60106000,万县,1759392000000,5,171.100
长江,60106000,万县,1759395600000,5,171.120
长江,60106000,万县,1759399200000,5,171.160
